exchange, name, bankroll, eProfit, sdProfit, pptd, winRate, buyRate, days, hProfit
BSE       , URJAGLOBA.BO.csv,   2.781,  0.02,  0.04,   0.004,  0.65,   0.208,  260
IST       ,    MZHLD.IS.csv,   2.775,  0.02,  0.06,   0.004,  0.55,   0.250,  260
BER       ,      6HR.BE.csv,   2.764,  0.02,  0.09,   0.005,  0.61,   0.296,  260
NSI       , KAMDHENU.NS.csv,   2.759,  0.02,  0.04,   0.004,  0.59,   0.265,  260
NSI       ,   AMDIND.NS.csv,   2.751,  0.02,  0.05,   0.004,  0.61,   0.246,  260
IST       ,    KUYAS.IS.csv,   2.749,  0.01,  0.03,   0.004,  0.64,   0.288,  260
IST       ,    BRMEN.IS.csv,   2.738,  0.01,  0.05,   0.004,  0.55,   0.285,  260
IST       ,    LIDFA.IS.csv,   2.733,  0.01,  0.05,   0.004,  0.55,   0.315,  260
NSI       , KOTHARIPRO.NS.csv,   2.715,  0.02,  0.05,   0.004,  0.57,   0.235,  260
01"       ,      C62.BE.csv,   2.713,  0.02,  0.07,   0.005,  0.47,   0.281,  260
 Inc."    ,       7NS.F.csv,   2.709,  0.11,  0.75,   0.019,  0.45,   0.169,  260
Ltd."     ,   002410.KS.csv,   2.699,  0.02,  0.08,   0.004,  0.52,   0.231,  260
BSE       , LOTUSCHO.BO.csv,   2.702,  0.01,  0.04,   0.004,  0.64,   0.269,  260
HKG       ,     0346.HK.csv,   2.695,  0.01,  0.07,   0.005,  0.39,   0.369,  260
NSI       ,  UCOBANK.NS.csv,   2.682,  0.01,  0.04,   0.004,  0.54,   0.346,  260
SHH       ,   600766.SS.csv,   2.678,  0.01,  0.04,   0.004,  0.60,   0.358,  260
PNK       ,        SKYH.csv,   2.639,  0.02,  0.10,   0.005,  0.54,   0.262,  260
IST       ,    YBTAS.IS.csv,   2.635,  0.01,  0.04,   0.004,  0.56,   0.323,  260
BSE       , BHANDHOS.BO.csv,   2.632,  0.02,  0.05,   0.004,  0.57,   0.262,  260
NSI       , WILLAMAGOR.NS.csv,   2.627,  0.01,  0.05,   0.004,  0.48,   0.288,  260
FRA       ,       EH8.F.csv,   2.625,  0.01,  0.06,   0.004,  0.51,   0.308,  260
FRA       ,       RYQ.F.csv,   2.620,  0.01,  0.05,   0.004,  0.52,   0.315,  260
SHH       ,   600303.SS.csv,   2.615,  0.01,  0.04,   0.004,  0.50,   0.323,  260
NSI       ,     RKDL.NS.csv,   2.614,  0.01,  0.03,   0.004,  0.45,   0.381,  260
BSE       , FACORALL.BO.csv,   2.607,  0.02,  0.04,   0.004,  0.59,   0.235,  260
BSE       ,  GALXBRG.BO.csv,   2.607,  0.01,  0.03,   0.004,  0.60,   0.300,  260
IST       ,    PKENT.IS.csv,   2.602,  0.02,  0.06,   0.004,  0.45,   0.231,  260
